CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,RFM_Total,Segment
12437.0,78,10,2421.98,2,4,4,244,10,At Risk
12438.0,41,1,890.0699999999999,3,1,3,313,7,Potential Loyalists
12441.0,267,1,173.55,1,1,1,111,3,Others
12444.0,22,2,2627.27,4,2,4,424,10,Potential Loyalists
12447.0,144,1,476.49,2,1,2,212,5,Others
12449.0,30,2,1636.88,3,2,4,324,9,Potential Loyalists
12450.0,57,2,197.88,3,2,1,321,6,Potential Loyalists
12451.0,48,3,5205.82,3,3,4,334,10,Loyal Customers
12453.0,35,1,707.09,3,1,3,313,7,Potential Loyalists
12455.0,28,5,2176.36,3,4,4,344,11,Loyal Customers
12456.0,9,3,2238.25,4,3,4,434,11,Loyal Customers
12457.0,30,6,832.6,3,4,3,343,10,Loyal Customers
12458.0,185,1,441.92,1,1,2,112,4,Others
12461.0,55,1,626.88,3,1,3,313,7,Potential Loyalists
12462.0,195,2,741.3100000000001,1,2,3,123,6,Others
12463.0,76,5,974.39,2,4,3,243,9,At Risk
12464.0,7,6,780.55,4,4,3,443,11,Champions
12465.0,70,1,440.94,3,1,2,312,6,Potential Loyalists
12468.0,44,3,724.0400000000001,3,3,3,333,9,Loyal Customers
12471.0,8,32,10420.32,4,4,4,444,12,Champions
12472.0,39,9,4628.63,3,4,4,344,11,Loyal Customers
12473.0,15,4,1109.79,4,3,3,433,10,Loyal Customers
12474.0,38,19,3765.66,3,4,4,344,11,Loyal Customers
12476.0,28,12,3060.97,3,4,4,344,11,Loyal Customers
12477.0,1,5,8824.48,4,4,4,444,12,Champions
12480.0,44,3,2144.95,3,3,4,334,10,Loyal Customers
12481.0,80,9,4096.3,2,4,4,244,10,At Risk
12483.0,84,8,1257.6100000000001,2,4,3,243,9,At Risk
12484.0,1,5,3626.65,4,4,4,444,12,Champions
12489.0,237,1,334.93,1,1,2,112,4,Others
12490.0,1,5,2516.77,4,4,4,444,12,Champions
12492.0,6,1,126.39000000000001,4,1,1,411,6,Potential Loyalists
12493.0,66,3,416.79,3,3,2,332,8,Loyal Customers
12494.0,58,10,819.9100000000001,3,4,3,343,10,Loyal Customers
12500.0,7,6,1773.8400000000001,4,4,4,444,12,Champions
12501.0,216,2,2089.68,1,2,4,124,7,Others
12502.0,28,4,2631.52,3,3,4,334,10,Loyal Customers
12503.0,238,1,-1126.0,1,1,1,111,3,Others
12505.0,202,1,-4.5,1,1,1,111,3,Others
12506.0,133,1,73.5,2,1,1,211,4,Others
12507.0,35,4,1258.06,3,3,3,333,9,Loyal Customers
12509.0,185,1,176.5,1,1,1,111,3,Others
12510.0,43,2,982.5699999999999,3,2,3,323,8,Potential Loyalists
12513.0,13,1,612.29,4,1,3,413,8,Potential Loyalists
12514.0,168,1,1017.68,1,1,3,113,5,Others
12515.0,254,1,383.7,1,1,2,112,4,Others
12516.0,81,1,583.2,2,1,3,213,6,Others
12517.0,27,2,1538.7,4,2,4,424,10,Potential Loyalists
12518.0,11,1,324.83,4,1,2,412,7,Potential Loyalists
12520.0,43,5,1994.1,3,4,4,344,11,Loyal Customers
12521.0,43,1,599.68,3,1,3,313,7,Potential Loyalists
12523.0,8,7,1017.75,4,4,3,443,11,Champions
12524.0,63,6,3122.48,3,4,4,344,11,Loyal Customers
12527.0,195,2,284.92,1,2,2,122,5,Others
12528.0,13,6,1276.17,4,4,3,443,11,Champions
12530.0,9,4,1183.0,4,3,3,433,10,Loyal Customers
12534.0,31,1,1089.18,3,1,3,313,7,Potential Loyalists
12535.0,87,1,371.45,2,1,2,212,5,Others
12539.0,163,4,2801.84,1,3,4,134,8,At Risk
12540.0,8,11,8721.17,4,4,4,444,12,Champions
12541.0,74,2,536.14,2,2,3,223,7,Others
12545.0,160,1,628.15,1,1,3,113,5,Others
12547.0,98,2,207.79999999999998,2,2,1,221,5,Others
12548.0,67,1,95.19999999999999,3,1,1,311,5,Potential Loyalists
12551.0,258,1,168.0,1,1,1,111,3,Others
12553.0,11,10,2383.29,4,4,4,444,12,Champions
12556.0,52,1,312.9,3,1,2,312,6,Potential Loyalists
12557.0,59,4,9000.960000000001,3,3,4,334,10,Loyal Customers
12559.0,211,3,536.21,1,3,3,133,7,At Risk
12560.0,1,3,1403.69,4,3,4,434,11,Loyal Customers
12561.0,203,1,238.85,1,1,1,111,3,Others
12562.0,27,3,1605.23,4,3,4,434,11,Loyal Customers
12564.0,162,1,456.9,1,1,2,112,4,Others
12565.0,182,2,131.17,1,2,1,121,4,Others
12567.0,9,9,6671.82,4,4,4,444,12,Champions
12569.0,8,14,1841.32,4,4,4,444,12,Champions
12571.0,22,1,248.35,4,1,2,412,7,Potential Loyalists
12573.0,128,1,160.54000000000002,2,1,1,211,4,Others
12574.0,216,1,218.45,1,1,1,111,3,Others
12576.0,38,4,652.0,3,3,3,333,9,Loyal Customers
12577.0,260,1,195.89,1,1,1,111,3,Others
12578.0,217,3,1567.51,1,3,4,134,8,At Risk
12580.0,147,1,415.7,2,1,2,212,5,Others
12582.0,139,2,511.36,2,2,2,222,6,Others
12583.0,7,10,4214.21,4,4,4,444,12,Champions
12584.0,28,8,688.2900000000001,3,4,3,343,10,Loyal Customers
12585.0,135,4,1982.81,2,3,4,234,9,At Risk
12586.0,269,1,-17.0,1,1,1,111,3,Others
12589.0,45,1,131.5,3,1,1,311,5,Potential Loyalists
12590.0,91,3,9861.38,2,3,4,234,9,At Risk
12591.0,218,1,452.84999999999997,1,1,2,112,4,Others
12592.0,114,1,231.8,2,1,1,211,4,Others
12593.0,9,3,418.09999999999997,4,3,2,432,9,Loyal Customers
12594.0,22,9,2511.9,4,4,4,444,12,Champions
12596.0,143,1,269.95,2,1,2,212,5,Others
12597.0,84,2,1428.81,2,2,4,224,8,Others
12598.0,62,5,1563.98,3,4,4,344,11,Loyal Customers
12599.0,27,6,857.04,4,4,3,443,11,Champions
12600.0,13,9,1918.5600000000002,4,4,4,444,12,Champions
12601.0,90,6,569.5600000000001,2,4,3,243,9,At Risk
12604.0,162,1,178.5,1,1,1,111,3,Others
12605.0,266,1,-7.5,1,1,1,111,3,Others
12609.0,87,2,800.73,2,2,3,223,7,Others
12610.0,7,3,1244.7,4,3,3,433,10,Loyal Customers
12613.0,98,4,1462.52,2,3,4,234,9,At Risk
12614.0,178,1,315.6,1,1,2,112,4,Others
12615.0,69,1,634.74,3,1,3,313,7,Potential Loyalists
12616.0,153,3,229.4,1,3,1,131,5,At Risk
12619.0,17,6,1697.78,4,4,4,444,12,Champions
12620.0,105,1,561.66,2,1,3,213,6,Others
12621.0,1,17,10173.29,4,4,4,444,12,Champions
12622.0,133,1,180.1,2,1,1,211,4,Others
12623.0,177,1,305.1,1,1,2,112,4,Others
12624.0,7,2,641.13,4,2,3,423,9,Potential Loyalists
12625.0,112,3,2614.32,2,3,4,234,9,At Risk
12626.0,13,10,4541.87,4,4,4,444,12,Champions
12627.0,9,4,1908.57,4,3,4,434,11,Loyal Customers
12633.0,30,4,1925.4,3,3,4,334,10,Loyal Customers
12635.0,55,1,683.64,3,1,3,313,7,Potential Loyalists
12637.0,58,7,2985.45,3,4,4,344,11,Loyal Customers
12639.0,139,1,486.1,2,1,2,212,5,Others
12641.0,16,1,185.9,4,1,1,411,6,Potential Loyalists
12642.0,8,1,366.45,4,1,2,412,7,Potential Loyalists
12643.0,29,6,3344.64,3,4,4,344,11,Loyal Customers
12644.0,30,1,477.91,3,1,2,312,6,Potential Loyalists
12645.0,10,3,1310.8600000000001,4,3,3,433,10,Loyal Customers
12647.0,27,10,2833.81,4,4,4,444,12,Champions
12648.0,55,1,318.05,3,1,2,312,6,Potential Loyalists
12649.0,8,4,603.71,4,3,3,433,10,Loyal Customers
12651.0,235,1,114.0,1,1,1,111,3,Others
12652.0,223,2,914.53,1,2,3,123,6,Others
12653.0,49,2,2209.85,3,2,4,324,9,Potential Loyalists
12654.0,98,3,337.75,2,3,2,232,7,At Risk
12656.0,17,5,2760.72,4,4,4,444,12,Champions
12662.0,8,8,2620.96,4,4,4,444,12,Champions
12664.0,44,3,1957.48,3,3,4,334,10,Loyal Customers
12665.0,225,2,61.75,1,2,1,121,4,Others
12666.0,260,1,-227.44,1,1,1,111,3,Others
12668.0,149,4,2889.67,1,3,4,134,8,At Risk
12669.0,51,4,1607.73,3,3,4,334,10,Loyal Customers
12670.0,100,2,1026.3899999999999,2,2,3,223,7,Others
12672.0,230,1,225.89999999999998,1,1,1,111,3,Others
12673.0,227,1,220.9,1,1,1,111,3,Others
12674.0,63,3,946.8,3,3,3,333,9,Loyal Customers
12676.0,24,4,998.0500000000001,4,3,3,433,10,Loyal Customers
12678.0,1,10,8242.06,4,4,4,444,12,Champions
12679.0,106,3,869.13,2,3,3,233,8,At Risk
12680.0,14,1,311.78,4,1,2,412,7,Potential Loyalists
12681.0,52,18,9824.08,3,4,4,344,11,Loyal Customers
12682.0,1,20,8219.92,4,4,4,444,12,Champions
12683.0,6,14,6146.13,4,4,4,444,12,Champions
12684.0,71,4,1379.48,3,3,4,334,10,Loyal Customers
12686.0,272,1,89.14,1,1,1,111,3,Others
12688.0,14,1,4873.8099999999995,4,1,4,414,9,Potential Loyalists
12689.0,28,1,511.03,3,1,2,312,6,Potential Loyalists
12690.0,106,1,389.01,2,1,2,212,5,Others
12691.0,46,4,556.3,3,3,3,333,9,Loyal Customers
12693.0,21,6,830.96,4,4,3,443,11,Champions
12694.0,84,1,439.5,2,1,2,212,5,Others
12695.0,8,2,333.90000000000003,4,2,2,422,8,Potential Loyalists
12697.0,15,3,724.01,4,3,3,433,10,Loyal Customers
12700.0,57,3,2113.05,3,3,4,334,10,Loyal Customers
12701.0,143,1,337.08,2,1,2,212,5,Others
12704.0,6,3,1100.92,4,3,3,433,10,Loyal Customers
12705.0,44,7,4117.17,3,4,4,344,11,Loyal Customers
12707.0,192,1,603.42,1,1,3,113,5,Others
12708.0,2,11,1946.88,4,4,4,444,12,Champions
12709.0,20,16,6093.67,4,4,4,444,12,Champions
12710.0,62,3,771.91,3,3,3,333,9,Loyal Customers
12712.0,7,14,3783.58,4,4,4,444,12,Champions
12714.0,7,4,3389.7,4,3,4,434,11,Loyal Customers
12715.0,7,1,353.86,4,1,2,412,7,Potential Loyalists
12716.0,34,1,677.9,3,1,3,313,7,Potential Loyalists
12717.0,52,3,980.98,3,3,3,333,9,Loyal Customers
12720.0,25,17,3290.55,4,4,4,444,12,Champions
12721.0,84,5,1671.76,2,4,4,244,10,At Risk
12722.0,15,5,836.35,4,4,3,443,11,Champions
12724.0,74,2,280.36,2,2,2,222,6,Others
12725.0,272,1,427.8,1,1,2,112,4,Others
12726.0,85,5,1467.32,2,4,4,244,10,At Risk
12727.0,88,7,2767.4,2,4,4,244,10,At Risk
12728.0,158,3,617.31,1,3,3,133,7,At Risk
12729.0,14,1,453.01,4,1,2,412,7,Potential Loyalists
12731.0,45,9,11238.25,3,4,4,344,11,Loyal Customers
12732.0,80,1,236.26000000000002,2,1,1,211,4,Others
12733.0,135,1,383.95,2,1,2,212,5,Others
12734.0,253,1,110.39999999999999,1,1,1,111,3,Others
12735.0,216,2,779.5699999999999,1,2,3,123,6,Others
12736.0,233,1,234.0,1,1,1,111,3,Others
12738.0,273,1,155.35,1,1,1,111,3,Others
12743.0,35,2,546.43,3,2,3,323,8,Potential Loyalists
12744.0,45,7,8121.13,3,4,4,344,11,Loyal Customers
12747.0,10,8,2769.4,4,4,4,444,12,Champions
12748.0,2,134,13101.77,4,4,4,444,12,Champions
12749.0,14,6,2532.55,4,4,4,444,12,Champions
12750.0,29,1,275.88,3,1,2,312,6,Potential Loyalists
12753.0,9,9,16332.46,4,4,4,444,12,Champions
12754.0,136,5,2949.12,2,4,4,244,10,At Risk
12755.0,150,4,2203.2,1,3,4,134,8,At Risk
12757.0,29,13,1651.68,3,4,4,344,11,Loyal Customers
12758.0,17,2,2791.59,4,2,4,424,10,Potential Loyalists
12759.0,72,2,1082.52,3,2,3,323,8,Potential Loyalists
12763.0,39,2,494.08,3,2,2,322,7,Potential Loyalists
12764.0,217,1,1693.88,1,1,4,114,6,Others
12766.0,50,5,4952.1900000000005,3,4,4,344,11,Loyal Customers
12769.0,139,1,1143.6,2,1,3,213,6,Others
12770.0,111,1,1351.45,2,1,4,214,7,Others
12775.0,90,5,1129.8799999999999,2,4,3,243,9,At Risk
12778.0,84,4,492.06,2,3,2,232,7,At Risk
12779.0,90,10,2906.11,2,4,4,244,10,At Risk
12781.0,153,2,491.75,1,2,2,122,5,Others
12782.0,50,5,2021.0700000000002,3,4,4,344,11,Loyal Customers
12785.0,265,1,311.95,1,1,2,112,4,Others
12787.0,93,1,158.1,2,1,1,211,4,Others
12790.0,93,1,324.92,2,1,2,212,5,Others
12791.0,274,1,192.60000000000002,1,1,1,111,3,Others
12792.0,157,1,400.53999999999996,1,1,2,112,4,Others
12793.0,235,2,545.48,1,2,3,123,6,Others
12797.0,261,3,194.18,1,3,1,131,5,At Risk
12798.0,71,1,1607.04,3,1,4,314,8,Potential Loyalists
12802.0,84,2,412.58,2,2,2,222,6,Others
12808.0,85,2,281.35,2,2,2,222,6,Others
12809.0,69,2,484.36,3,2,2,322,7,Potential Loyalists
12811.0,161,3,514.85,1,3,2,132,6,At Risk
12814.0,2,1,125.92,4,1,1,411,6,Potential Loyalists
12815.0,48,2,1063.46,3,2,3,323,8,Potential Loyalists
12816.0,77,1,318.65000000000003,2,1,2,212,5,Others
12817.0,182,1,166.04,1,1,1,111,3,Others
12818.0,79,2,1517.88,2,2,4,224,8,Others
12820.0,227,1,170.46,1,1,1,111,3,Others
12821.0,115,1,92.72,2,1,1,211,4,Others
12823.0,28,4,1224.0,3,3,3,333,9,Loyal Customers
12826.0,69,5,812.02,3,4,3,343,10,Loyal Customers
12828.0,13,2,338.2,4,2,2,422,8,Potential Loyalists
12829.0,223,3,253.05,1,3,2,132,6,At Risk
12830.0,35,5,5137.76,3,4,4,344,11,Loyal Customers
12831.0,163,1,215.05,1,1,1,111,3,Others
12833.0,46,1,417.38,3,1,2,312,6,Potential Loyalists
12834.0,183,1,312.38,1,1,2,112,4,Others
12836.0,38,3,2112.53,3,3,4,334,10,Loyal Customers
12837.0,74,1,134.1,2,1,1,211,4,Others
12838.0,274,1,390.79,1,1,2,112,4,Others
12839.0,14,9,2680.51,4,4,4,444,12,Champions
12840.0,44,6,2714.27,3,4,4,344,11,Loyal Customers
12841.0,7,17,2851.44,4,4,4,444,12,Champions
12842.0,209,1,310.73,1,1,2,112,4,Others
12843.0,60,8,1670.81,3,4,4,344,11,Loyal Customers
12844.0,31,1,174.88,3,1,1,311,5,Potential Loyalists
12845.0,168,4,354.09,1,3,2,132,6,At Risk
12849.0,169,1,704.5,1,1,3,113,5,Others
12852.0,191,2,299.75,1,2,2,122,5,Others
12853.0,8,9,1881.7,4,4,4,444,12,Champions
12854.0,142,4,775.02,2,3,3,233,8,At Risk
12855.0,273,1,38.1,1,1,1,111,3,Others
12857.0,111,2,1106.4,2,2,3,223,7,Others
12863.0,100,1,-17.0,2,1,1,211,4,Others
12864.0,39,1,147.12,3,1,1,311,5,Potential Loyalists
12865.0,24,2,961.22,4,2,3,423,9,Potential Loyalists
12866.0,184,1,559.12,1,1,3,113,5,Others
12867.0,66,6,2344.2,3,4,4,344,11,Loyal Customers
12868.0,86,6,1607.0600000000002,2,4,4,244,10,At Risk
12870.0,267,1,-14.899999999999999,1,1,1,111,3,Others
12871.0,108,1,132.0,2,1,1,211,4,Others
12872.0,227,2,599.97,1,2,3,123,6,Others
12873.0,183,1,374.0,1,1,2,112,4,Others
12875.0,44,2,343.2300000000001,3,2,2,322,7,Potential Loyalists
12876.0,97,1,726.43,2,1,3,213,6,Others
12877.0,25,9,1059.23,4,4,3,443,11,Champions
12878.0,137,2,854.99,2,2,3,223,7,Others
12881.0,176,1,298.0,1,1,2,112,4,Others
12885.0,21,2,628.4,4,2,3,423,9,Potential Loyalists
12886.0,114,2,747.69,2,2,3,223,7,Others
12888.0,115,4,313.77,2,3,2,232,7,At Risk
12891.0,86,3,331.0,2,3,2,232,7,At Risk
12897.0,105,2,216.5,2,2,1,221,5,Others
12901.0,1,26,10584.03,4,4,4,444,12,Champions
12902.0,165,1,138.68,1,1,1,111,3,Others
12904.0,73,1,244.69,2,1,2,212,5,Others
12908.0,77,3,360.0,2,3,2,232,7,At Risk
12909.0,92,5,1485.92,2,4,4,244,10,At Risk
12910.0,35,4,1486.9,3,3,4,334,10,Loyal Customers
12913.0,183,3,866.39,1,3,3,133,7,At Risk
12915.0,49,2,363.65,3,2,2,322,7,Potential Loyalists
12916.0,39,5,2982.35,3,4,4,344,11,Loyal Customers
12917.0,29,1,594.0,3,1,3,313,7,Potential Loyalists
12919.0,17,4,425.75,4,3,2,432,9,Loyal Customers
12921.0,29,33,8776.4,3,4,4,344,11,Loyal Customers
12922.0,62,1,405.38,3,1,2,312,6,Potential Loyalists
12924.0,99,4,651.52,2,3,3,233,8,At Risk
12928.0,48,3,1136.14,3,3,3,333,9,Loyal Customers
12929.0,23,2,105.1,4,2,1,421,7,Potential Loyalists
12930.0,45,3,215.66,3,3,1,331,7,Loyal Customers
12931.0,1,14,24987.75,4,4,4,444,12,Champions
12933.0,72,3,356.24,3,3,2,332,8,Loyal Customers
12935.0,10,5,1531.09,4,4,4,444,12,Champions
12937.0,98,2,428.23,2,2,2,222,6,Others
12939.0,39,4,7990.08,3,3,4,334,10,Loyal Customers
12942.0,32,3,683.9,3,3,3,333,9,Loyal Customers
12943.0,202,1,-3.75,1,1,1,111,3,Others
12944.0,255,1,286.95,1,1,2,112,4,Others
12945.0,189,1,462.95,1,1,2,112,4,Others
12947.0,44,11,1407.29,3,4,4,344,11,Loyal Customers
12948.0,1,5,1412.71,4,4,4,444,12,Champions
12949.0,15,9,3425.2200000000003,4,4,4,444,12,Champions
12951.0,64,7,729.78,3,4,3,343,10,Loyal Customers
12955.0,7,8,1324.02,4,4,4,444,12,Champions
12956.0,207,1,108.07,1,1,1,111,3,Others
12957.0,87,6,1699.44,2,4,4,244,10,At Risk
12962.0,14,1,170.54000000000002,4,1,1,411,6,Potential Loyalists
12963.0,199,2,350.2,1,2,2,122,5,Others
12967.0,203,3,1630.95,1,3,4,134,8,At Risk
12968.0,13,1,135.95,4,1,1,411,6,Potential Loyalists
12970.0,223,2,23.8,1,2,1,121,4,Others
12971.0,8,64,7595.110000000001,4,4,4,444,12,Champions
12974.0,98,1,144.8,2,1,1,211,4,Others
12976.0,112,1,738.6,2,1,3,213,6,Others
12977.0,57,1,39.239999999999995,3,1,1,311,5,Potential Loyalists
12980.0,56,12,7092.06,3,4,4,344,11,Loyal Customers
12981.0,34,1,187.18,3,1,1,311,5,Potential Loyalists
12982.0,140,2,377.2,2,2,2,222,6,Others
12987.0,92,2,290.6,2,2,2,222,6,Others
12988.0,193,1,535.32,1,1,3,113,5,Others
12989.0,58,10,4462.84,3,4,4,344,11,Loyal Customers
12990.0,86,2,263.9,2,2,2,222,6,Others
12991.0,13,1,303.56,4,1,2,412,7,Potential Loyalists
12993.0,21,3,372.4,4,3,2,432,9,Loyal Customers
12994.0,8,4,573.27,4,3,3,433,10,Loyal Customers
12997.0,134,4,583.27,2,3,3,233,8,At Risk
12999.0,97,3,455.88,2,3,2,232,7,At Risk
13000.0,7,3,534.85,4,3,3,433,10,Loyal Customers
13001.0,59,13,8594.52,3,4,4,344,11,Loyal Customers
13002.0,219,1,120.94999999999999,1,1,1,111,3,Others
13003.0,6,3,149.05,4,3,1,431,8,Loyal Customers
13004.0,15,15,3748.49,4,4,4,444,12,Champions
13005.0,74,3,468.95,2,3,2,232,7,At Risk
13008.0,224,2,178.46999999999997,1,2,1,121,4,Others
13011.0,273,1,50.550000000000004,1,1,1,111,3,Others
13012.0,49,6,677.09,3,4,3,343,10,Loyal Customers
13013.0,8,10,3358.84,4,4,4,444,12,Champions
13014.0,14,9,1962.23,4,4,4,444,12,Champions
13015.0,98,4,1763.04,2,3,4,234,9,At Risk
13016.0,24,1,425.25,4,1,2,412,7,Potential Loyalists
13018.0,23,18,4783.9,4,4,4,444,12,Champions
13021.0,58,7,1120.49,3,4,3,343,10,Loyal Customers
13023.0,30,1,336.40000000000003,3,1,2,312,6,Potential Loyalists
13026.0,121,2,243.71999999999997,2,2,2,222,6,Others
13027.0,14,6,6912.0,4,4,4,444,12,Champions
13029.0,39,2,773.1999999999999,3,2,3,323,8,Potential Loyalists
13030.0,269,1,427.74,1,1,2,112,4,Others
13033.0,258,1,190.55,1,1,1,111,3,Others
13034.0,270,1,165.86,1,1,1,111,3,Others
13035.0,161,1,333.0,1,1,2,112,4,Others
13037.0,39,3,881.07,3,3,3,333,9,Loyal Customers
13038.0,84,2,591.76,2,2,3,223,7,Others
13043.0,154,2,471.57,1,2,2,122,5,Others
13044.0,192,1,560.47,1,1,3,113,5,Others
13046.0,167,1,197.72,1,1,1,111,3,Others
13047.0,14,14,2559.42,4,4,4,444,12,Champions
13048.0,13,4,1345.05,4,3,4,434,11,Loyal Customers
13049.0,219,1,153.78,1,1,1,111,3,Others
13050.0,1,22,4378.59,4,4,4,444,12,Champions
13052.0,113,1,348.15000000000003,2,1,2,212,5,Others
13055.0,114,1,344.86,2,1,2,212,5,Others
13058.0,52,1,47.550000000000004,3,1,1,311,5,Potential Loyalists
13059.0,150,1,183.4,1,1,1,111,3,Others
13060.0,154,1,307.53,1,1,2,112,4,Others
13062.0,92,1,346.98,2,1,2,212,5,Others
13064.0,53,2,659.25,3,2,3,323,8,Potential Loyalists
13065.0,274,1,205.86,1,1,1,111,3,Others
13068.0,220,1,165.0,1,1,1,111,3,Others
13069.0,20,21,2983.6,4,4,4,444,12,Champions
13070.0,93,1,228.8,2,1,1,211,4,Others
13072.0,167,1,177.15,1,1,1,111,3,Others
13075.0,30,1,919.61,3,1,3,313,7,Potential Loyalists
13077.0,191,3,577.44,1,3,3,133,7,At Risk
13078.0,1,27,6772.57,4,4,4,444,12,Champions
13079.0,41,1,23.8,3,1,1,311,5,Potential Loyalists
13080.0,80,1,58.08,2,1,1,211,4,Others
13081.0,30,13,18565.97,3,4,4,344,11,Loyal Customers
13082.0,27,10,3595.48,4,4,4,444,12,Champions
13085.0,58,3,272.38,3,3,2,332,8,Loyal Customers
13089.0,1,88,37603.15,4,4,4,444,12,Champions
13090.0,13,12,4704.84,4,4,4,444,12,Champions
13092.0,112,5,421.75,2,4,2,242,8,At Risk
13093.0,168,13,7741.47,1,4,4,144,9,At Risk
13094.0,30,14,1327.2600000000002,3,4,4,344,11,Loyal Customers
13097.0,23,11,4562.71,4,4,4,444,12,Champions
13098.0,14,26,14283.39,4,4,4,444,12,Champions
13101.0,135,1,101.19,2,1,1,211,4,Others
13102.0,34,22,4873.9,3,4,4,344,11,Loyal Customers
13104.0,34,3,376.44,3,3,2,332,8,Loyal Customers
13106.0,29,2,59.5,3,2,1,321,6,Potential Loyalists
13107.0,76,3,927.67,2,3,3,233,8,At Risk
13108.0,273,1,350.06,1,1,2,112,4,Others
13109.0,35,2,364.9,3,2,2,322,7,Potential Loyalists
13110.0,38,6,1006.44,3,4,3,343,10,Loyal Customers
13113.0,14,34,9741.81,4,4,4,444,12,Champions
13115.0,55,8,845.2,3,4,3,343,10,Loyal Customers
13116.0,18,2,485.19,4,2,2,422,8,Potential Loyalists
13117.0,22,7,841.77,4,4,3,443,11,Champions
13118.0,109,4,786.2900000000001,2,3,3,233,8,At Risk
13120.0,139,1,30.599999999999998,2,1,1,211,4,Others
13121.0,170,2,254.73,1,2,2,122,5,Others
13122.0,141,1,903.67,2,1,3,213,6,Others
13124.0,153,2,2574.12,1,2,4,124,7,Others
13126.0,154,6,1054.02,1,4,3,143,8,At Risk
13131.0,88,1,324.9,2,1,2,212,5,Others
13132.0,162,1,77.3,1,1,1,111,3,Others
13133.0,174,2,109.8,1,2,1,121,4,Others
13134.0,84,5,849.7900000000001,2,4,3,243,9,At Risk
13135.0,97,1,3096.0,2,1,4,214,7,Others
13136.0,35,6,1188.43,3,4,3,343,10,Loyal Customers
